"name","freq","doodson",,,,,,"semi","doodsonamp","doodsonspecies",
"Z0  ",0,0,0,0,0,0,0,0,NaN,NaN,
"SA  ",0.00011407,0,0,1,0,0,-1,0,0.0116,0,
"SSA ",0.00022816,0,0,2,0,0,0,0,0.07299,0,
"MSM ",0.0013098,0,1,-2,1,0,0,0,NaN,NaN,
"MM  ",0.0015122,0,1,0,-1,0,0,0,0.08254,0,
"MSF ",0.0028219,0,2,-2,0,0,0,0,0.01376,0,
"MF  ",0.0030501,0,2,0,0,0,0,0,0.15642,0,
"A233",0.034384,1,-4,2,0,0,0,0.5,0.00010008,1,
"A323",0.03439,1,-4,2,1,-1,0,-0.25,0.00052987,-1,
"ALP1",0.034397,1,-4,2,1,0,0,-0.25,0.00278,-1,
"2113",0.035668,1,-3,0,0,-2,0,0.25,6.0165e-05,-1,
"2223",0.035687,1,-3,0,1,-1,0,0.5,0.00023015,1,
"2233",0.035693,1,-3,0,1,0,0,0.5,0.00057968,1,
"2313",0.035694,1,-3,0,2,-2,0,0.25,6.0165e-05,-1,
"2323",0.0357,1,-3,0,2,-1,0,-0.25,0.0018002,-1,
"2Q1 ",0.035706,1,-3,0,2,0,0,-0.25,0.00955,-1,
"S233",0.035896,1,-3,2,-1,0,0,0.5,0.00010954,1,
"S313",0.035896,1,-3,2,0,-2,0,0.25,7.0333e-05,-1,
"S323",0.035903,1,-3,2,0,-1,0,-0.25,0.0021723,-1,
"SIG1",0.035909,1,-3,2,0,0,0,-0.25,0.01153,-1,
"S533",0.035935,1,-3,2,2,0,0,0.25,0.00010031,-1,
"Q103",0.037174,1,-2,0,-1,-3,0,0.25,5.0512e-05,-1,
"Q113",0.03718,1,-2,0,-1,-2,0,0.25,0.00028142,-1,
"Q213",0.037193,1,-2,0,0,-2,0,0.5,7.216e-05,1,
"Q223",0.037199,1,-2,0,0,-1,0,0.5,0.00082984,1,
"Q233",0.037206,1,-2,0,0,0,0,0.5,0.0021071,1,
"Q234",0.037206,1,-2,0,0,0,1,-0.25,5.7728e-05,-1,
"Q313",0.037206,1,-2,0,1,-2,0,0.25,0.00041131,-1,
"Q323",0.037212,1,-2,0,1,-1,0,-0.25,0.013595,-1,
"Q1  ",0.037219,1,-2,0,1,0,0,-0.25,0.07216,-1,
"Q433",0.037231,1,-2,0,2,0,0,0.5,0.00012989,1,
"Q533",0.037244,1,-2,0,3,0,0,0.25,0.00020205,-1,
"R313",0.037409,1,-2,2,-1,-2,0,0.25,7.9518e-05,-1,
"R323",0.037415,1,-2,2,-1,-1,0,-0.25,0.0025802,-1,
"RHO1",0.037421,1,-2,2,-1,0,0,-0.25,0.01371,-1,
"R433",0.037434,1,-2,2,0,0,0,0.5,0.0001796,1,
"R533",0.037447,1,-2,2,1,0,0,0.25,0.0007897,-1,
"R543",0.037453,1,-2,2,1,1,0,-0.25,0.00023993,-1,
"O233",0.038718,1,-1,0,-1,0,0,0,0.00011307,1,
"O313",0.038718,1,-1,0,0,-2,0,0.25,0.002186,-1,
"O323",0.038725,1,-1,0,0,-1,0,-0.25,0.071044,-1,
"O1  ",0.038731,1,-1,0,0,0,0,-0.25,0.37689,-1,
"O423",0.038737,1,-1,0,1,-1,0,0,0.00015076,1,
"O433",0.038744,1,-1,0,1,0,0,0.5,0.001093,1,
"O443",0.03875,1,-1,0,1,1,0,0,0.00015076,1,
"O533",0.038756,1,-1,0,2,0,0,0.25,0.0024121,-1,
"O543",0.038763,1,-1,0,2,1,0,0.25,0.00037689,-1,
"T133",0.038933,1,-1,2,-2,0,0,-0.75,-0.00021899,-1,
"T233",0.038946,1,-1,2,-1,0,0,-0.5,-0.00020917,1,
"T323",0.038953,1,-1,2,0,-1,0,-0.25,-0.00013944,-1,
"TAU1",0.038959,1,-1,2,0,0,0,-0.75,-0.00491,-1,
"T343",0.038965,1,-1,2,0,1,0,-0.25,-0.0010655,-1,
"T353",0.038971,1,-1,2,0,2,0,-0.25,-6.9722e-05,-1,
"B323",0.040034,1,0,-2,1,-1,0,-0.75,-0.00062995,-1,
"BET1",0.04004,1,0,-2,1,0,0,-0.75,-0.00278,-1,
"N113",0.040231,1,0,0,-1,-2,0,-0.25,-0.00016895,-1,
