"name","freq","kmpr","ikmpr","df","doodson",,,,,,"semi","isat","nsat","ishallow","nshallow","doodsonamp","doodsonspecies",
"Z0  ",0,"M2  ",48,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,
"SA  ",0.00011407,"SSA ",3,0.00011409,0,0,1,0,0,-1,0,NaN,NaN,NaN,NaN,0.0116,0,
"SSA ",0.00022816,"Z0  ",1,0.00022816,0,0,2,0,0,0,0,NaN,NaN,NaN,NaN,0.07299,0,
"MSM ",0.0013098,"MM  ",5,0.00020237,0,1,-2,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,
"MM  ",0.0015122,"MSF ",6,0.0013098,0,1,0,-1,0,0,0,NaN,NaN,NaN,NaN,0.08254,0,
"MSF ",0.0028219,"Z0  ",1,0.0028219,0,2,-2,0,0,0,0,NaN,NaN,NaN,NaN,0.01376,0,
"MF  ",0.0030501,"MSF ",6,0.00022816,0,2,0,0,0,0,0,NaN,NaN,NaN,NaN,0.15642,0,
"ALP1",0.034397,"2Q1 ",9,0.0013098,1,-4,2,1,0,0,-0.25,1,2,NaN,NaN,0.00278,-1,
"2Q1 ",0.035706,"Q1  ",11,0.0015122,1,-3,0,2,0,0,-0.25,3,5,NaN,NaN,0.00955,-1,
"SIG1",0.035909,"2Q1 ",9,0.00020237,1,-3,2,0,0,0,-0.25,8,4,NaN,NaN,0.01153,-1,
"Q1  ",0.037219,"O1  ",13,0.0015122,1,-2,0,1,0,0,-0.25,12,10,NaN,NaN,0.07216,-1,
"RHO1",0.037421,"Q1  ",11,0.00020237,1,-2,2,-1,0,0,-0.25,22,5,NaN,NaN,0.01371,-1,
"O1  ",0.038731,"K1  ",21,0.0030501,1,-1,0,0,0,0,-0.25,27,8,NaN,NaN,0.37689,-1,
"TAU1",0.038959,"O1  ",13,0.00022816,1,-1,2,0,0,0,-0.75,35,5,NaN,NaN,-0.00491,-1,
"BET1",0.04004,"NO1 ",16,0.00022816,1,0,-2,1,0,0,-0.75,40,1,NaN,NaN,-0.00278,-1,
"NO1 ",0.040269,"K1  ",21,0.0015122,1,0,0,1,0,0,-0.75,41,9,NaN,NaN,-0.02964,-1,
"CHI1",0.040471,"NO1 ",16,0.00020237,1,0,2,-1,0,0,-0.75,50,2,NaN,NaN,-0.00566,-1,
"PI1 ",0.041439,"P1  ",19,0.00011407,1,1,-3,0,0,1,-0.25,52,1,NaN,NaN,0.01029,-1,
"P1  ",0.041553,"K1  ",21,0.00022816,1,1,-2,0,0,0,-0.25,53,6,NaN,NaN,0.17584,-1,
"S1  ",0.041667,"K1  ",21,0.00011407,1,1,-1,0,0,1,-0.75,59,2,NaN,NaN,-0.00423,-1,
"K1  ",0.041781,"Z0  ",1,0.041781,1,1,0,0,0,0,-0.75,61,10,NaN,NaN,-0.5305,-1,
"PSI1",0.041895,"K1  ",21,0.00011407,1,1,1,0,0,-1,-0.75,71,1,NaN,NaN,-0.00423,-1,
"PHI1",0.042009,"K1  ",21,0.00022816,1,1,2,0,0,0,-0.75,72,5,NaN,NaN,-0.00756,-1,
"THE1",0.043091,"J1  ",25,0.00020237,1,2,-2,1,0,0,-0.75,77,4,NaN,NaN,-0.00566,-1,
"J1  ",0.043293,"K1  ",21,0.0015122,1,2,0,-1,0,0,-0.75,81,10,NaN,NaN,-0.02964,-1,
"2PO1",0.044375,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,NaN,NaN,
"SO1 ",0.044603,"OO1 ",28,0.00022816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,2,NaN,NaN,
"OO1 ",0.044831,"J1  ",25,0.0015379,1,3,0,0,0,0,-0.75,91,8,NaN,NaN,-0.01623,-1,
"UPS1",0.046343,"OO1 ",28,0.0015122,1,4,0,-1,0,0,-0.75,99,5,NaN,NaN,-0.00311,-1,
"ST36",0.073355,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,3,NaN,NaN,
"2NS2",0.074665,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,NaN,NaN,
"ST37",0.074868,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,2,NaN,NaN,
"ST1 ",0.074893,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,3,NaN,NaN,
"OQ2 ",0.075975,"EPS2",35,0.00020237,2,-3,0,3,0,0,0,104,2,NaN,NaN,0.00259,2,
"EPS2",0.076177,"2N2 ",39,0.0013098,2,-3,2,1,0,0,0,106,3,NaN,NaN,0.00671,2,
"ST2 ",0.076405,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,4,NaN,NaN,
"ST3 ",0.077233,"    ",NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,3,NaN,NaN,
