"deldood",,,"phcorr","amprat","ilatfac","iconst",
-1,0,0,0.75,0.036,1,8,
0,-1,0,0,0.1906,0,8,
-2,-2,0,0.5,0.0063,0,9,
-1,-1,0,0.75,0.0241,1,9,
-1,0,0,0.75,0.0607,1,9,
0,-2,0,0.5,0.0063,0,9,
0,-1,0,0,0.1885,0,9,
-1,0,0,0.75,0.0095,1,10,
0,-2,0,0.5,0.0061,0,10,
0,-1,0,0,0.1884,0,10,
2,0,0,0.5,0.0087,0,10,
-2,-3,0,0.5,0.0007,0,11,
-2,-2,0,0.5,0.0039,0,11,
-1,-2,0,0.75,0.001,1,11,
-1,-1,0,0.75,0.0115,1,11,
-1,0,0,0.75,0.0292,1,11,
0,-2,0,0.5,0.0057,0,11,
-1,0,1,0,0.0008,0,11,
0,-1,0,0,0.1884,0,11,
1,0,0,0.75,0.0018,1,11,
2,0,0,0.5,0.0028,0,11,
0,-2,0,0.5,0.0058,0,12,
0,-1,0,0,0.1882,0,12,
1,0,0,0.75,0.0131,1,12,
2,0,0,0.5,0.0576,0,12,
2,1,0,0,0.0175,0,12,
-1,0,0,0.25,0.0003,1,13,
0,-2,0,0.5,0.0058,0,13,
0,-1,0,0,0.1885,0,13,
1,-1,0,0.25,0.0004,1,13,
1,0,0,0.75,0.0029,1,13,
1,1,0,0.25,0.0004,1,13,
2,0,0,0.5,0.0064,0,13,
2,1,0,0.5,0.001,0,13,
-2,0,0,0,0.0446,0,14,
-1,0,0,0.25,0.0426,1,14,
0,-1,0,0.5,0.0284,0,14,
0,1,0,0.5,0.217,0,14,
0,2,0,0.5,0.0142,0,14,
0,-1,0,0,0.2266,0,15,
-2,-2,0,0.5,0.0057,0,16,
-2,-1,0,0,0.0665,0,16,
-2,0,0,0,0.3596,0,16,
-1,-1,0,0.75,0.0331,1,16,
-1,0,0,0.25,0.2227,1,16,
-1,1,0,0.75,0.029,1,16,
0,-1,0,0.5,0.029,0,16,
0,1,0,0,0.2004,0,16,
0,2,0,0.5,0.0054,0,16,
0,-1,0,0.5,0.0282,0,17,
0,1,0,0,0.2187,0,17,
0,-1,0,0.5,0.0078,0,18,
0,-2,0,0,0.0008,0,19,
0,-1,0,0.5,0.0112,0,19,
0,0,2,0.5,0.0004,0,19,
1,0,0,0.75,0.0004,1,19,
2,0,0,0.5,0.0015,0,19,
2,1,0,0.5,0.0003,0,19,
0,0,-2,0,0.3534,0,20,
0,1,0,0.5,0.0264,0,20,
-2,-1,0,0,0.0002,0,21,
-1,-1,0,0.75,0.0001,1,21,
-1,0,0,0.25,0.0007,1,21,
-1,1,0,0.75,0.0001,1,21,
0,-2,0,0,0.0001,0,21,
0,-1,0,0.5,0.0198,0,21,
0,1,0,0,0.1356,0,21,
0,2,0,0.5,0.0029,0,21,
1,0,0,0.25,0.0002,1,21,
1,1,0,0.25,0.0001,1,21,
0,1,0,0,0.019,0,22,
-2,0,0,0,0.0344,0,23,
-2,1,0,0,0.0106,0,23,
0,0,-2,0,0.0132,0,23,
0,1,0,0.5,0.0384,0,23,
0,2,0,0.5,0.0185,0,23,
-2,-1,0,0,0.03,0,24,
-1,0,0,0.25,0.0141,1,24,
0,-1,0,0.5,0.0317,0,24,
0,1,0,0,0.1993,0,24,
0,-1,0,0.5,0.0294,0,25,
0,1,0,0,0.198,0,25,
0,2,0,0.5,0.0047,0,25,
1,-1,0,0.75,0.0027,1,25,
1,0,0,0.25,0.0816,1,25,
1,1,0,0.25,0.0331,1,25,
1,2,0,0.25,0.0027,1,25,
2,0,0,0.5,0.0152,0,25,
